Account Owner,Account Owner ID,Account Name,Phone,Account Site,Fax,Parent Account,Parent Account ID,Account Number,Account Type,Industry,Annual Revenue,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Billing Street,Billing City,Billing State,Billing Code,Billing Country,Description,Last Activity Time,Layout,Layout ID,Tag,Water System No,Website URL,Principal Country Served
,,SUNSHINE MEADOWS WATER UTILITY,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,SUTTON HILLS ESTATES,512-415-5754,,,,,,,,,,,,,,,,BROADDUS,TX,75929-0025,,,,,,,,,
,,SUNSET WATER SYSTEM,940-213-3718,,,,,,,,,,,,,,,,NOCONA,TX,76255-2618,,,,,,,,,
,,SUSAN CIRCLE COMMUNITY WS,409-768-8768,,,,,,,,,,,,,,,,VIDOR,TX,77670-0389,,,,,,,,,
,,SWEA GARDENS ESTATES,281-367-0047,,,,,,,,,,,,,,,,SPRING,TX,77383-1700,,,,,,,,,
,,STORMLIGHT MOBILE HOME PARK,575-361-5758,,,,,,,,,,,,,,,,CARLSBAD,NM,88220-5246,,,,,,,,,
,,SWEETGUM FOREST,713-574-5953,,,,,,,,,,,,,,,,CYPRESS,TX,77429-7080,,,,,,,,,
,,SWENSON WSC,806-254-2210,,,,,,,,,,,,,,,,ASPERMONT,TX,79502-2703,,,,,,,,,
,,SWIFT WSC,936-462-7843,,,,,,,,,,,,,,,,NACOGDOCHES,TX,75961-7537,,,,,,,,,
,,SYLVESTER MCCAULLEY WSC,325-725-1733,,,,,,,,,,,,,,,,HAMLIN,TX,79520-0482,,,,,,,,,
,,SUNSET VIEW ESTATES,949-613-3710,,,,,,,,,,,,,,,,LAGUNA BEACH,CA,92652-4860,,,,,,,,,
,,TAL TEX,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,SUNSET WATER,,,,,,,,,,,,,,,,,CANYON,TX,79015-0453,,,,,,,,,
,,TALL PINES UTILITY,281-367-5511,,,,,,,,,,,,,,,,HOUSTON,TX,77240-0526,,,,,,,,,
,,TALLEY WSC,903-938-4372,,,,,,,,,,,,,,,,MARSHALL,TX,75671-1837,,,,,,,,,
,,TALL CEDARS MOBILE HOME SUBDIVISION,713-574-5953,,,,,,,,,,,,,,,,CYPRESS,TX,77429-7080,,,,,,,,,
,,TALLOWS MOBILE HOME PARK,281-448-6836,,,,,,,,,,,,,,,,HOUSTON,TX,77088-3241,,,,,,,,,
,,TALTY SUD,972-552-4422,,,,,,,,,,,,,,,,FORNEY,TX,75126-0890,,,,,,,,,
,,TANGLEWOOD ESTATES,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,TANGLEWOOD ON TEXOMA,512-219-2294,,,,,,,,,,,,,,,,PFLUGERVILLE,TX,78660-2185,,,,,,,,,
,,TARKINGTON SUD,281-592-6060,,,,,,,,,,,,,,,,CLEVELAND,TX,77327-4074,,,,,,,,,
,,TARRANT REGIONAL WATER DISTRICT,817-335-2491,,,,,,,,,,,,,,,,FORT WORTH,TX,76102-1016,,,,,,,,,
,,TASFIELD,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,TATTOR ROAD MUD,713-652-6500,,,,,,,,,,,,,,,,HOUSTON,TX,77019-2191,,,,,,,,,
,,TANGLEWOOD FOREST SUBDIVISION,936-327-7070,,,,,,,,,,,,,,,,LIVINGSTON,TX,77351-3224,,,,,,,,,
,,TAYLOR LAKE ESTATES WATER SYSTEM,936-327-7070,,,,,,,,,,,,,,,,LIVINGSTON,TX,77351-3224,,,,,,,,,
,,TBCD WEST TREATMENT PLANT,409-296-3602,,,,,,,,,,,,,,,,STOWELL,TX,77661-0599,,,,,,,,,
,,TBCD WINNIE STOWELL,409-296-3602,,,,,,,,,,,,,,,,STOWELL,TX,77661-0599,,,,,,,,,
,,SUNSHINE COUNTRY ACRES,817-645-5493,,,,,,,,,,,,,,,,KEENE,TX,76059-0460,,,,,,,,,
,,TALL TIMBERS WSC,409-565-4012,,,,,,,,,,,,,,,,BURKEVILLE,TX,75932-2621,,,,,,,,,
,,TBM RESIDENT WSC,,,,,,,,,,,,,,,,,NEW BRAUNFELS,TX,78132-3729,,,,,,,,,
,,TARA PARK WATER SYSTEM,903-822-3275,,,,,,,,,,,,,,,,MOUNT ENTERPRISE,TX,75681-0385,,,,,,,,,
,,TCW SUPPLY,806-274-5291,,,,,,,,,,,,,,,,BORGER,TX,79008-0005,,,,,,,,,
,,TDCJ BATEN & JORDAN UNITS,806-669-5750,,,,,,,,,,,,,,,,PAMPA,TX,79066-2499,,,,,,,,,
,,TDCJ BETO UNIT,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TDCJ CHASE FIELD,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TDCJ COFFIELD MICHAEL,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TDCJ EASTHAM UNIT,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TDCJ FERGUSON UNIT,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TDCJ ID DARRINGTON UNIT,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TDCJ JESTER 1 UNIT,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TDCJ LUTHER UNITS,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TEJAS LAKES SUBDIVISION,713-574-5953,,,,,,,,,,,,,,,,CYPRESS,TX,77429-7080,,,,,,,,,
,,TELGE MANOR MHP,,,,,,,,,,,,,,,,,HUMBLE,TX,77396-4491,,,,,,,,,
,,TELGE TERRACE MOBILE HOME SUBDIVISION,281-356-5347,,,,,,,,,,,,,,,,MAGNOLIA,TX,77354-5148,,,,,,,,,
,,TEN WEST RANCHES,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,TDCJ RAMSEY AREA,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TENNESSEE WSC,936-254-2108,,,,,,,,,,,,,,,,TIMPSON,TX,75975-0839,,,,,,,,,
,,TERRANOVA WEST MUD,713-651-0111,,,,,,,,,,,,,,,,HOUSTON,TX,77046-3653,,,,,,,,,
,,TERRELL COUNTY WCID 1,432-345-2501,,,,,,,,,,,,,,,,SANDERSON,TX,79848-0569,,,,,,,,,
,,TDCJ W PACK UNIT,936-437-7285,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-4011,,,,,,,,,
,,TEX RIDES SUBDIVISION,512-219-2294,,,,,,,,,,,,,,,,PFLUGERVILLE,TX,78660-2185,,,,,,,,,
,,TEXABA SUBDIVISION,936-494-2600,,,,,,,,,,,,,,,,CONROE,TX,77301-1500,,,,,,,,,
,,TEXARKANA ESTATES,281-451-2755,,,,,,,,,,,,,,,,MIDLAND,TX,79701-4362,,,,,,,,,
,,TEXARKANA WATER UTILITIES,903-223-3153,,,,,,,,,,,,,,,,TEXARKANA,TX,75504-1967,,,,,,,,,
,,TEXAS 281 RV PARK,830-980-2282,,,,,,,,,,,,,,,,BULVERDE,TX,78163-3143,,,,,,,,,
,,TEMPE WSC 1,936-328-5702,,,,,,,,,,,,,,,,LIVINGSTON,TX,77351-6058,,,,,,,,,
,,TEXAS A&M UNIVERSITY COMMERCE,903-886-5014,,,,,,,,,,,,,,,,COMMERCE,TX,75429-3011,,,,,,,,,
,,TEXAS A&M UNIVERSITY MAIN CAMPUS,979-862-4606,,,,,,,,,,,,,,,,COLLEGE STATION,TX,77843-0001,,,,,,,,,
,,TEXAS GRAND RANCH,281-356-5347,,,,,,,,,,,,,,,,MAGNOLIA,TX,77354-5148,,,,,,,,,
,,TEXAS LANDING UTILITIES,936-646-2224,,,,,,,,,,,,,,,,ONALASKA,TX,77360-2110,,,,,,,,,
,,TEXAS LANDING UTILITIES DEERWOOD,936-646-2224,,,,,,,,,,,,,,,,ONALASKA,TX,77360-2110,,,,,,,,,
,,TEXAS BOYS RANCH,806-747-3187,,,,,,,,,,,,,,,,LUBBOCK,TX,79408-5665,,,,,,,,,
,,T L WATER JONES ACRES,817-223-9859,,,,,,,,,,,,,,,,KELLER,TX,76244-1566,,,,,,,,,
,,TEXAS NATIONAL MUD,713-951-0800,,,,,,,,,,,,,,,,HOUSTON,TX,77024-3430,,,,,,,,,
,,TEXAS LANDING UTILITIES GOODE CITY,936-646-2224,,,,,,,,,,,,,,,,ONALASKA,TX,77360-2110,,,,,,,,,
,,TEXAS STATE TECHNICAL COLLEGE - WACO,254-867-3701,,,,,,,,,,,,,,,,WACO,TX,76705-1629,,,,,,,,,
,,TEPATITLAN MOBILE HOME PARK,832-498-6764,,,,,,,,,,,,,,,,HOUSTON,TX,77060-4609,,,,,,,,,
,,TEXAS COUNTRY WATER,830-708-5530,,,,,,,,,,,,,,,,NEW BRAUNFELS,TX,78132-4432,,,,,,,,,
,,TEXHOMA CITY MUNICIPAL WATER SYSTEM,806-827-7411,,,,,,,,,,,,,,,,TEXHOMA,TX,73960-1123,,,,,,,,,
,,TEXLAND GREAT PLAINS WATER SUPPLY COMPAN,817-336-2701,,,,,,,,,,,,,,,,FORT WORTH,TX,76102-5344,,,,,,,,,
,,TEXAS STATE UNIVERSITY - SAN MARCOS,512-245-2517,,,,,,,,,,,,,,,,SAN MARCOS,TX,78666-4684,,,,,,,,,
,,TEXAS WATER SUPPLY,936-327-7070,,,,,,,,,,,,,,,,LIVINGSTON,TX,77351-3224,,,,,,,,,
,,TEXOMA ESTATES WSC,903-893-8161,,,,,,,,,,,,,,,,DENISON,TX,75021-0400,,,,,,,,,
,,TERRELLS MOBILE HOME PARK,575-390-4816,,,,,,,,,,,,,,,,LOVINGTON,NM,88260-9818,,,,,,,,,
,,TEXLINE MUNICIPAL WATER SYSTEM,806-362-4849,,,,,,,,,,,,,,,,TEXLINE,TX,79087-0150,,,,,,,,,
,,THE CLIFFS,214-706-9801,,,,,,,,,,,,,,,,DALLAS,TX,75254-7658,,,,,,,,,
,,THALIA WSC,940-655-3517,,,,,,,,,,,,,,,,CROWELL,TX,79227-0004,,,,,,,,,
,,THE COMMONS WATER SUPPLY INC,713-452-1700,,,,,,,,,,,,,,,,THE WOODLANDS,TX,77380-1179,,,,,,,,,
,,THE COLONY MUD 1E,832-723-3918,,,,,,,,,,,,,,,,AUSTIN,TX,78701-2744,,,,,,,,,
,,THE CONSOLIDATED WSC BERIA SYSTEM,936-544-2986,,,,,,,,,,,,,,,,CROCKETT,TX,75835-1226,,,,,,,,,
,,THE CONSOLIDATED WSC CENTRAL SYSTEM,936-544-2986,,,,,,,,,,,,,,,,CROCKETT,TX,75835-1226,,,,,,,,,
,,THE CONSOLIDATED WSC FM 228 SYSTEM,936-544-2986,,,,,,,,,,,,,,,,CROCKETT,TX,75835-1226,,,,,,,,,
,,THE CONSOLIDATED WSC GOLDEN ACRES SYSTEM,936-544-2986,,,,,,,,,,,,,,,,CROCKETT,TX,75835-1226,,,,,,,,,
,,THE CONSOLIDATED WSC PERCILLA SYSTEM,936-544-2986,,,,,,,,,,,,,,,,CROCKETT,TX,75835-1226,,,,,,,,,
,,THE CONSOLIDATED WSC ROCKHILL ROAD SYSTE,936-544-2986,,,,,,,,,,,,,,,,CROCKETT,TX,75835-1226,,,,,,,,,
,,THE CONSOLIDATED WSC PLANT F SYSTEM,936-544-2986,,,,,,,,,,,,,,,,CROCKETT,TX,75835-1226,,,,,,,,,
,,THE COVES WSC,,,,,,,,,,,,,,,,,SPICEWOOD,TX,78669-6704,,,,,,,,,
,,THE FALLS WSC,210-913-1569,,,,,,,,,,,,,,,,PIPE CREEK,TX,78063-7209,,,,,,,,,
,,THE GROVE WSC,,,,,,,,,,,,,,,,,GATESVILLE,TX,76528-3104,,,,,,,,,
,,THE HACIENDAS AT CHRISTOVAL RANCH,325-227-4645,,,,,,,,,,,,,,,,SAN ANGELO,TX,76902-1669,,,,,,,,,
,,THE OAKS,281-354-5136,,,,,,,,,,,,,,,,PORTER,TX,77365-0603,,,,,,,,,
,,THE RANCH SUBDIVISION,936-756-7400,,,,,,,,,,,,,,,,CONROE,TX,77305-2927,,,,,,,,,
,,THE OAKS WSC,210-698-8449,,,,,,,,,,,,,,,,SAN ANTONIO,TX,78255-3501,,,,,,,,,
,,THE RESORT AT EAGLE MOUNTAIN LAKE,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,THE RESERVE,903-675-4316,,,,,,,,,,,,,,,,ATHENS,TX,75751-2502,,,,,,,,,
,,THE RIDGE AT FRIO RIVER WATER SYSTEM,281-255-2588,,,,,,,,,,,,,,,,TOMBALL,TX,77377-3977,,,,,,,,,
,,THE WOODLANDS METRO CENTER MUD,281-367-1271,,,,,,,,,,,,,,,,THE WOODLANDS,TX,77380-1025,,,,,,,,,
,,THE WOODLANDS MUD 1,281-367-1271,,,,,,,,,,,,,,,,THE WOODLANDS,TX,77380-1025,,,,,,,,,
,,THOMAS ACRES,817-645-5493,,,,,,,,,,,,,,,,KEENE,TX,76059-0460,,,,,,,,,
,,THOMPSON HEIGHTS WATER SYSTEM,903-463-2300,,,,,,,,,,,,,,,,DENISON,TX,75021-0378,,,,,,,,,
,,THOUSAND OAKS,936-756-7400,,,,,,,,,,,,,,,,CONROE,TX,77305-2927,,,,,,,,,
,,THE RETREAT WATER SUPPLY,214-706-9801,,,,,,,,,,,,,,,,DALLAS,TX,75254-7658,,,,,,,,,
,,THREE COMMUNITY WSC,903-570-3075,,,,,,,,,,,,,,,,BROWNSBORO,TX,75756-0228,,,,,,,,,
,,THOUSAND OAKS SUBDIVISION,254-485-1584,,,,,,,,,,,,,,,,CARLTON,TX,76436-2309,,,,,,,,,
,,THE WOODLANDS WATER SYSTEM,512-328-9099,,,,,,,,,,,,,,,,AUSTIN,TX,78746-5571,,,,,,,,,
,,THREE OAKS WSC,830-391-2198,,,,,,,,,,,,,,,,FLORESVILLE,TX,78114-5302,,,,,,,,,
,,THUNDERBIRD BAY SUBDIVISION,972-407-1530,,,,,,,,,,,,,,,,DALLAS,TX,75379-5399,,,,,,,,,
,,THE ESTATES OF SANDY HILLS,361-573-7653,,,,,,,,,,,,,,,,VICTORIA,TX,77901-1727,,,,,,,,,
,,THUNDERBIRD UTILITY DISTRICT 1,281-499-5539,,,,,,,,,,,,,,,,MISSOURI CITY,TX,77459-2543,,,,,,,,,
,,THUNDERBIRD POINT WATER SYSTEM,936-825-7833,,,,,,,,,,,,,,,,NAVASOTA,TX,77868-0868,,,,,,,,,
,,THUNDERBIRD UTILITY DISTRICT SYSTEM 2,281-499-5539,,,,,,,,,,,,,,,,MISSOURI CITY,TX,77459-2543,,,,,,,,,
,,TIDEWATER OAKS SUBDIVISION,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,TIDWELL FOREST NEW SUBDIVISION,832-387-6497,,,,,,,,,,,,,,,,HOUSTON,TX,77096-3532,,,,,,,,,
,,TIERRA DEL LAGO,830-774-8558,,,,,,,,,,,,,,,,DEL RIO,TX,78840-5502,,,,,,,,,
,,TIFFANY WATER,409-938-8697,,,,,,,,,,,,,,,,HITCHCOCK,TX,77563-2559,,,,,,,,,
,,TIMBER CREEK ESTATES,936-273-1599,,,,,,,,,,,,,,,,CONROE,TX,77384-4702,,,,,,,,,
,,TIMBER LANE UTILITY DISTRICT,713-652-6500,,,,,,,,,,,,,,,,HOUSTON,TX,77019-2191,,,,,,,,,
,,TIMBER LINE ESTATES,936-856-4199,,,,,,,,,,,,,,,,WILLIS,TX,77378-0187,,,,,,,,,
,,TIMBER RIDGE SECTION 2,281-456-0883,,,,,,,,,,,,,,,,HOUSTON,TX,77044-6009,,,,,,,,,
,,TIMBER SWITCH WATER PLANT,936-344-8017,,,,,,,,,,,,,,,,NEW WAVERLY,TX,77358-0279,,,,,,,,,
,,TIMBERCREEK VALLEY,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,TIMBERCREST VILLAGE,604-669-2663,,,,,,,,,,,,,,,,TOMBALL,TX,77375-7172,,,,,,,,,
,,TIMBERDALE MOBILE HOME SUBDIVISION,281-356-5347,,,,,,,,,,,,,,,,MAGNOLIA,TX,77354-5148,,,,,,,,,
,,TIMBERLAKE IMPROVEMENT DISTRICT,713-951-0800,,,,,,,,,,,,,,,,HOUSTON,TX,77024-3430,,,,,,,,,
,,TIMBERLAND ESTATES,281-354-5136,,,,,,,,,,,,,,,,PORTER,TX,77365-0603,,,,,,,,,
,,TIMBERLANE ESTATES PROPERTY OWNERS ASSOC,409-579-2623,,,,,,,,,,,,,,,,HEMPHILL,TX,75948-6012,,,,,,,,,
,,TIMBERLOCH ESTATES,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,TIMBERWILDE MH SUBDIVISION,281-356-5060,,,,,,,,,,,,,,,,PINEHURST,TX,77362-0837,,,,,,,,,
,,TIMPSON RURAL WSC,936-254-2108,,,,,,,,,,,,,,,,TIMPSON,TX,75975-0839,,,,,,,,,
,,TOE WATER SUPPLY CORPORATION,214-923-5016,,,,,,,,,,,,,,,,CANTON,TX,75103-4358,,,,,,,,,
,,TOLEDO VILLAGE WSC,409-698-2100,,,,,,,,,,,,,,,,JASPER,TX,75951-0055,,,,,,,,,
,,TOM GREEN COUNTY FWSD 1 CARLSBAD,325-658-2961,,,,,,,,,,,,,,,,CARLSBAD,TX,76934-0024,,,,,,,,,
,,TIMER WATER SYSTEM,409-769-9030,,,,,,,,,,,,,,,,VIDOR,TX,77670-0062,,,,,,,,,
,,TOM GREEN COUNTY FWSD 2 CHRISTOVAL,325-896-2449,,,,,,,,,,,,,,,,CHRISTOVAL,TX,76935-0131,,,,,,,,,
,,TOM GREEN COUNTY FWSD 3,325-949-6863,,,,,,,,,,,,,,,,SAN ANGELO,TX,76904-3622,,,,,,,,,
,,TONKAWA WSC,512-264-1269,,,,,,,,,,,,,,,,SPICEWOOD,TX,78669-1454,,,,,,,,,
,,TOPSEY WSC,254-501-7623,,,,,,,,,,,,,,,,COPPERAS COVE,TX,76522-7421,,,,,,,,,
,,TOWER GLEN ESTATES,281-354-5136,,,,,,,,,,,,,,,,PORTER,TX,77365-0603,,,,,,,,,
,,TOWER OAK BEND WSC,281-367-0047,,,,,,,,,,,,,,,,SPRING,TX,77383-1700,,,,,,,,,
,,TOWER TERRACE,512-219-2294,,,,,,,,,,,,,,,,PFLUGERVILLE,TX,78660-2185,,,,,,,,,
,,TOWER WOODS,281-354-5136,,,,,,,,,,,,,,,,PORTER,TX,77365-0603,,,,,,,,,
,,TIMBERLANE WATER SYSTEM,409-722-1897,,,,,,,,,,,,,,,,NEDERLAND,TX,77627-1611,,,,,,,,,
,,TOWN BLUFF WATER SYSTEM,936-327-7070,,,,,,,,,,,,,,,,LIVINGSTON,TX,77351-3224,,,,,,,,,
,,TOWN OF ADDISON,972-450-7000,,,,,,,,,,,,,,,,ADDISON,TX,75001-9010,,,,,,,,,
,,TOWERING OAKS AND ROSEWOOD HILLS SUBDIVI,281-356-5060,,,,,,,,,,,,,,,,PINEHURST,TX,77362-0837,,,,,,,,,
,,TOWN OF ANNETTA,817-441-5770,,,,,,,,,,,,,,,,ALEDO,TX,76008-1150,,,,,,,,,
,,TOWN OF ANNETTA DEER CREEK,817-441-5770,,,,,,,,,,,,,,,,ALEDO,TX,76008-1150,,,,,,,,,
,,TOWN OF ANTHONY,915-886-3944,,,,,,,,,,,,,,,,ANTHONY,TX,79821-1269,,,,,,,,,
,,TIMBER CREEK ADDITION,903-651-9457,,,,,,,,,,,,,,,,GORDONVILLE,TX,76245-0514,,,,,,,,,
,,TOWN OF COMBES,956-423-2714,,,,,,,,,,,,,,,,COMBES,TX,78535-0280,,,,,,,,,
,,TOWN OF BAYSIDE,361-529-6520,,,,,,,,,,,,,,,,BAYSIDE,TX,78340-0194,,,,,,,,,
,,TOWN OF CUT AND SHOOT,936-264-3100,,,,,,,,,,,,,,,,CUT AND SHOOT,TX,77306-0176,,,,,,,,,
,,TOWN OF EDGECLIFF VILLAGE,817-293-4313,,,,,,,,,,,,,,,,EDGECLIFF VILLAGE,TX,76134-1121,,,,,,,,,
,,TOWN OF FAIRVIEW,972-562-0522,,,,,,,,,,,,,,,,FAIRVIEW,TX,75069-1826,,,,,,,,,
,,TOWN OF FLOWER MOUND,972-874-6067,,,,,,,,,,,,,,,,FLOWER MOUND,TX,75028-2602,,,,,,,,,
,,TOWN OF HIGHLAND PARK,214-521-4161,,,,,,,,,,,,,,,,DALLAS,TX,75205-3107,,,,,,,,,
,,TOWN OF INDIAN LAKE,956-233-4021,,,,,,,,,,,,,,,,LOS FRESNOS,TX,78566-4113,,,,,,,,,
,,TOWN OF HOLIDAY LAKES,979-849-1136,,,,,,,,,,,,,,,,HOLIDAY LAKES,TX,77515-8412,,,,,,,,,
,,TOWN OF LAKESIDE,817-237-1234,,,,,,,,,,,,,,,,LAKESIDE,TX,76108-9484,,,,,,,,,
,,TOWN OF LAKEWOOD VILLAGE,972-294-5555,,,,,,,,,,,,,,,,LAKEWOOD VILLAGE,TX,75068-4300,,,,,,,,,
,,TOWN OF LITTLE ELM,214-975-0400,,,,,,,,,,,,,,,,LITTLE ELM,TX,75068-5060,,,,,,,,,
,,TOWN OF MILLERS COVE,903-573-5998,,,,,,,,,,,,,,,,WINFIELD,TX,75493-0300,,,,,,,,,
,,TOWN OF NORTHLAKE,940-648-3290,,,,,,,,,,,,,,,,NORTHLAKE,TX,76226-1597,,,,,,,,,
,,TOWN OF PANTEGO,817-617-3703,,,,,,,,,,,,,,,,PANTEGO,TX,76013-3336,,,,,,,,,
,,TOWN OF PLEASANT VALLEY,940-851-8518,,,,,,,,,,,,,,,,IOWA PARK,TX,76367-7051,,,,,,,,,
,,TOWN OF PONDER,940-479-2396,,,,,,,,,,,,,,,,PONDER,TX,76259-0297,,,,,,,,,
,,TOWN NORTH ESTATES,806-795-6560,,,,,,,,,,,,,,,,LUBBOCK,TX,79416-4716,,,,,,,,,
,,TOWN OF PROSPER,972-346-2640,,,,,,,,,,,,,,,,PROSPER,TX,75078-0307,,,,,,,,,
,,TOWN OF PROVIDENCE VILLAGE,940-365-9333,,,,,,,,,,,,,,,,PROVIDENCE VILLAGE,TX,76227-5274,,,,,,,,,
,,TOWN OF SUNNYVALE,972-226-7177,,,,,,,,,,,,,,,,SUNNYVALE,TX,75182-9516,,,,,,,,,
,,TOWN OF RANSOM CANYON,806-829-2470,,,,,,,,,,,,,,,,RANSOM CANYON,TX,79366-2200,,,,,,,,,
,,TOWN OF QUINTANA,979-233-0848,,,,,,,,,,,,,,,,QUINTANA,TX,77541-9109,,,,,,,,,
,,TOWN OF TROPHY CLUB PUBLIC IMPROVEMENT D,682-237-2970,,,,,,,,,,,,,,,,TROPHY CLUB,TX,76262-9700,,,,,,,,,
,,TOWN OF WESTLAKE,817-430-0941,,,,,,,,,,,,,,,,WESTLAKE,TX,76262-1690,,,,,,,,,
,,TOWN OF WESTOVER HILLS,817-735-8027,,,,,,,,,,,,,,,,FORT WORTH,TX,76107-3530,,,,,,,,,
,,TOWN OF WOODLOCH,936-321-3700,,,,,,,,,,,,,,,,CONROE,TX,77385-8580,,,,,,,,,
,,TRA HUNTSVILLE REGIONAL WATER SUPPLY,936-295-3931,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-1554,,,,,,,,,
,,TRA TARRANT COUNTY WATER PROJECT,817-267-4226,,,,,,,,,,,,,,,,ARLINGTON,TX,76004-0060,,,,,,,,,
,,TRA LIVINGSTON REGIONAL WATER SUPPLY,936-295-3931,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-1554,,,,,,,,,
,,TRA TRINITY COUNTY REGIONAL,936-295-3931,,,,,,,,,,,,,,,,HUNTSVILLE,TX,77342-1554,,,,,,,,,
,,TRACY TAYLOR MHP,936-554-3141,,,,,,,,,,,,,,,,NACOGDOCHES,TX,75961-8654,,,,,,,,,
,,TOWN NORTH VILLAGE WATER SYSTEM,806-795-6560,,,,,,,,,,,,,,,,LUBBOCK,TX,79416-4716,,,,,,,,,
,,TRAIL CREEK WATER SYSTEM,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,TOWN OF WOODSBORO,361-543-7957,,,,,,,,,,,,,,,,WOODSBORO,TX,78393-0632,,,,,,,,,
,,TRAILS END MOBILE HOME PARK,956-968-5051,,,,,,,,,,,,,,,,WESLACO,TX,78596-8069,,,,,,,,,
,,TRAILS END SUBDIVISION,936-856-4199,,,,,,,,,,,,,,,,WILLIS,TX,77378-0187,,,,,,,,,
,,TRAIL OF THE LAKES MUD,713-237-1221,,,,,,,,,,,,,,,,HOUSTON,TX,77019-7120,,,,,,,,,
,,TRAILWOOD SUBDIVISION,281-356-5060,,,,,,,,,,,,,,,,PINEHURST,TX,77362-0837,,,,,,,,,
,,TRAVELS END COOP,817-453-1510,,,,,,,,,,,,,,,,MANSFIELD,TX,76063-3498,,,,,,,,,
,,TRAVIS COUNTY MUD 11,512-435-2300,,,,,,,,,,,,,,,,AUSTIN,TX,78701-2744,,,,,,,,,
,,TRAVIS COUNTY MUD 12,512-435-1400,,,,,,,,,,,,,,,,AUSTIN,TX,78701-2744,,,,,,,,,
,,TRAVIS COUNTY MUD 13,512-435-7543,,,,,,,,,,,,,,,,AUSTIN,TX,78701-2744,,,,,,,,,
,,TRAVIS COUNTY MUD 14,512-251-6920,,,,,,,,,,,,,,,,AUSTIN,TX,78701-2744,,,,,,,,,
,,TRAVIS COUNTY MUD 2,512-246-1400,,,,,,,,,,,,,,,,AUSTIN,TX,78701-2744,,,,,,,,,
,,TRAVIS COUNTY MUD 18,512-482-6110,,,,,,,,,,,,,,,,AUSTIN,TX,78746-5776,,,,,,,,,
,,TRAVIS COUNTY MUD 4,512-423-6771,,,,,,,,,,,,,,,,AUSTIN,TX,78701-2744,,,,,,,,,
,,TRAVIS COUNTY MUD 10,713-860-6400,,,,,,,,,,,,,,,,HOUSTON,TX,77027-7537,,,,,,,,,
,,TRAVIS COUNTY WCID 10,512-327-2230,,,,,,,,,,,,,,,,WEST LAKE HILLS,TX,78746-5225,,,,,,,,,
,,TRAVIS COUNTY WCID 17,512-266-1111,,,,,,,,,,,,,,,,AUSTIN,TX,78734-1613,,,,,,,,,
,,TRAVIS COUNTY WCID POINT VENTURE,512-467-6604,,,,,,,,,,,,,,,,AUSTIN,TX,78738-7119,,,,,,,,,
,,TRAVIS COUNTY WCID 19,512-999-3169,,,,,,,,,,,,,,,,AUSTIN,TX,78738-7119,,,,,,,,,
,,TREICHEL WOODS ESTATES,281-356-5060,,,,,,,,,,,,,,,,PINEHURST,TX,77362-0837,,,,,,,,,
,,TRES PALACIOS OAKS SUBDIVISION,512-990-4400,,,,,,,,,,,,,,,,AUSTIN,TX,78723-2476,,,,,,,,,
,,TREASURE ISLAND MUD,979-239-4198,,,,,,,,,,,,,,,,FREEPORT,TX,77541-7271,,,,,,,,,
,,TRES VIDAS SUBDIVISION,254-659-7169,,,,,,,,,,,,,,,,HILLSBORO,TX,76645-1263,,,,,,,,,
,,TREETOP ESTATES,817-535-4802,,,,,,,,,,,,,,,,FOREST HILL,TX,76119-7504,,,,,,,,,
